horizon,reservation_wages,pr_ext,periods_ui_compensation,length_extension,true_pr_ext
3,0.8998690655679003,0.34210526315789475,10,25,no
4,0.9035081881414568,0.34210526315789475,10,25,no
5,0.9056096267282006,0.34210526315789475,10,25,no
6,0.9068413178320833,0.34210526315789475,10,25,no
7,0.9075765932176201,0.34210526315789475,10,25,no
8,0.9080259933689303,0.34210526315789475,10,25,no
9,0.9083090159287921,0.34210526315789475,10,25,no
10,0.9084938656043442,0.34210526315789475,10,25,no
0,0.8630177779890004,0.3631578947368421,10,25,no
1,0.883782240798912,0.3631578947368421,10,25,no
2,0.8948380759880948,0.3631578947368421,10,25,no
3,0.9008586791046564,0.3631578947368421,10,25,no
4,0.9041913246188031,0.3631578947368421,10,25,no
5,0.9060647458959921,0.3631578947368421,10,25,no
6,0.9071369660313369,0.3631578947368421,10,25,no
7,0.9077650458902251,0.3631578947368421,10,25,no
8,0.9081443612464878,0.3631578947368421,10,25,no
9,0.9083824935065994,0.3631578947368421,10,25,no
10,0.9085390413000911,0.3631578947368421,10,25,no
0,0.8645967418905834,0.38421052631578945,10,25,no
1,0.885361204700495,0.38421052631578945,10,25,no
2,0.8960783611883447,0.38421052631578945,10,25,no
3,0.901739149950026,0.38421052631578945,10,25,no
4,0.9047818153626701,0.38421052631578945,10,25,no
5,0.9064464003064494,0.38421052631578945,10,25,no
6,0.9073772870294357,0.38421052631578945,10,25,no
7,0.9079134542650689,0.38421052631578945,10,25,no
8,0.9082346386085942,0.38421052631578945,10,25,no
9,0.9084367545496044,0.38421052631578945,10,25,no
10,0.9085713379755704,0.38421052631578945,10,25,no
0,0.8660716242688917,0.4052631578947368,10,25,no
1,0.8868360870788032,0.4052631578947368,10,25,no
2,0.8972120323355721,0.4052631578947368,10,25,no
3,0.9025220164776526,0.4052631578947368,10,25,no
4,0.9052912278471162,0.4052631578947368,10,25,no
5,0.9067654155438372,0.4052631578947368,10,25,no
6,0.9075717627043643,0.4052631578947368,10,25,no
7,0.9080296648845116,0.4052631578947368,10,25,no
8,0.908303020251945,0.4052631578947368,10,25,no
9,0.9084765038135059,0.4052631578947368,10,25,no
10,0.9085942158650736,0.4052631578947368,10,25,no
0,0.8674519241429002,0.4263157894736842,10,25,no
