horizon,reservation_wages,length_ext,periods_ui_compensation,length_extension,pr_ext,true_length_ext
6,0.9077918982984334,,10,23,0.5,no
7,0.9080641112723142,,10,23,0.5,no
8,0.9082452951452674,,10,23,0.5,no
9,0.9083784898198619,,10,23,0.5,no
10,0.9084834489504536,,10,23,0.5,no
0,0.8714235433694936,,10,24,0.5,no
1,0.8921880061794052,,10,24,0.5,no
2,0.9010191399245526,,10,24,0.5,no
3,0.9048955069347814,,10,24,0.5,no
4,0.9066575088072433,,10,24,0.5,no
5,0.9075013255076316,,10,24,0.5,no
6,0.9079388360030001,,10,24,0.5,no
7,0.9081912638339223,,10,24,0.5,no
8,0.9083551805131633,,10,24,0.5,no
9,0.9084733915849046,,10,24,0.5,no
10,0.9085653863539085,,10,24,0.5,no
0,0.8716518253546457,,10,25,0.5,yes
1,0.8924162881645572,,10,25,0.5,yes
2,0.90123120039165,,10,25,0.5,yes
3,0.9050856858532903,,10,25,0.5,yes
4,0.9068249873668732,,10,25,0.5,yes
5,0.9076474002077701,,10,25,0.5,yes
6,0.9080655962145147,,10,25,0.5,yes
7,0.9083009724026525,,10,25,0.5,yes
8,0.908450003179249,,10,25,0.5,yes
9,0.9085552938053256,,10,25,0.5,yes
10,0.9086361069543043,,10,25,0.5,yes
0,0.8718486182507812,,10,26,0.5,no
1,0.8926130810606927,,10,26,0.5,no
2,0.9014140393845962,,10,26,0.5,no
3,0.9052496906368674,,10,26,0.5,no
4,0.9069694433205086,,10,26,0.5,no
5,0.9077734161176471,,10,26,0.5,no
6,0.9081749662982542,,10,26,0.5,no
7,0.9083956425032664,,10,26,0.5,no
8,0.9085318371279301,,10,26,0.5,no
9,0.9086259840329796,,10,26,0.5,no
10,0.9086971514057385,,10,26,0.5,no
0,0.8720183081941533,,10,27,0.5,no
1,0.8927827710040648,,10,27,0.5,no
2,0.9015717195148524,,10,27,0.5,no
3,0.905391152040329,,10,27,0.5,no
4,0.9070940632981499,,10,27,0.5,no
5,0.907882144155205,,10,27,0.5,no
6,0.908269344341208,,10,27,0.5,no
7,0.9084773447838128,,10,27,0.5,no
8,0.9086024684241985,,10,27,0.5,no
9,0.9086870022628171,,10,27,0.5,no
10,0.908749847444073,,10,27,0.5,no
0,0.8721646595191495,,10,28,0.5,no
1,0.892929122329061,,10,28,0.5,no
2,0.9017077294079943,,10,28,0.5,no
3,0.9055131899299363,,10,28,0.5,no
4,0.9072015873034609,,10,28,0.5,no
5,0.9079759682695987,,10,28,0.5,no
6,0.9083507945915259,,10,28,0.5,no
7,0.9085478624359808,,10,28,0.5,no
8,0.9086634357815473,,10,28,0.5,no
9,0.9087396756622466,,10,28,0.5,no
10,0.9087953396440072,,10,28,0.5,no
