date_start,date_end,date,hits,keyword,geo,time,gprop,category
2019-01-01,2023-08-19,2019-01-06T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-01-13T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-01-20T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-01-27T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-02-03T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-02-10T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-02-17T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-02-24T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-03-03T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-03-10T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-03-17T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-03-24T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-03-31T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-04-07T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-04-14T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-04-21T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-04-28T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-05-05T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-05-12T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-05-19T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-05-26T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-06-02T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-06-09T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-06-16T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
2019-01-01,2023-08-19,2019-06-23T00:00:00Z,0,2nd stimulus check,US,2019-01-01 2023-08-19,web,0
